Time,Anomaly (deg C),Lower confidence limit (2.5%),Upper confidence limit (97.5%)
1859-01,-0.42511332,-0.68306994,-0.1671567
1859-02,-0.36704174,-0.58920383,-0.14487961
1859-03,-0.36359864,-0.59004223,-0.13715504
1859-04,-0.23103124,-0.5091531,0.04709062
1859-05,-0.28961527,-0.59809965,0.018869134
1859-06,-0.37064585,-0.70029515,-0.04099656
1859-07,-0.35657004,-0.648925,-0.064215064
1859-08,-0.34631532,-0.7142157,0.021585094
1859-09,-0.40054455,-0.72430325,-0.07678588
1859-10,-0.23177108,-0.52930856,0.06576636
1859-11,-0.3242034,-0.607242,-0.041164853
1859-12,-0.07051148,-0.33289233,0.19186935
1860-01,-0.20416245,-0.425748,0.017423104
1860-02,-0.2961626,-0.5450451,-0.04728017
1860-03,-0.30496347,-0.55205584,-0.05787108
1860-04,-0.2813479,-0.5424367,-0.020259066
1860-05,-0.44873223,-0.7305533,-0.16691113
1860-06,-0.3184657,-0.6913156,0.05438418
1860-07,-0.2706656,-0.5980027,0.05667155
1860-08,-0.20552094,-0.61351514,0.20247328
1860-09,-0.24903089,-0.599632,0.10157027
1860-10,-0.41998777,-0.717008,-0.122967534
1860-11,-0.3879046,-0.6636711,-0.11213814
1860-12,-0.46863532,-0.72484744,-0.21242325
1861-01,-0.45352018,-0.68181336,-0.225227
1861-02,-0.58767056,-0.85350764,-0.3218335
1861-03,-0.4370481,-0.6941674,-0.1799288
1861-04,-0.224634,-0.56094843,0.11168043
1861-05,-0.80461264,-1.2172893,-0.39193597
1861-06,-0.40061167,-0.7839273,-0.017296009
1861-07,-0.64700997,-0.982269,-0.31175098
1861-08,-0.19398758,-0.56748295,0.17950779
1861-09,-0.29264542,-0.66586316,0.08057236
1861-10,-0.5392138,-0.84040445,-0.23802309
1861-11,-0.4722053,-0.7287502,-0.2156604
1861-12,-0.3829919,-0.6921747,-0.07380915
1862-01,-0.5366541,-0.80928516,-0.264023
1862-02,-0.4264183,-0.6800015,-0.17283513
1862-03,-0.2336567,-0.5205885,0.05327509
1862-04,-0.24596336,-0.55172735,0.059800606
1862-05,-0.1432072,-0.5020978,0.21568336
1862-06,-0.19966562,-0.5645894,0.16525811
1862-07,-0.35001013,-0.68827415,-0.011746103
1862-08,-0.61371964,-1.0189416,-0.20849766
1862-09,-0.38507766,-0.7215091,-0.04864621
1862-10,-0.38011187,-0.678463,-0.08176075
1862-11,-0.4317372,-0.72368085,-0.13979359
1862-12,-0.5085004,-0.79688156,-0.22011921
1863-01,-0.3412109,-0.62154377,-0.060878064
1863-02,-0.23650171,-0.5015142,0.028510792
1863-03,-0.3751403,-0.67546916,-0.07481145
1863-04,-0.2601617,-0.58783185,0.06750843
1863-05,-0.5757566,-0.9378516,-0.21366163
1863-06,-0.4492698,-0.83115786,-0.06738176
1863-07,-0.37295893,-0.7237737,-0.022144137
1863-08,-0.41383442,-0.7890749,-0.038593937
1863-09,-0.48705983,-0.8304914,-0.14362824
1863-10,-0.35940266,-0.6801683,-0.038637046
1863-11,-0.42539227,-0.70059234,-0.15019219
1863-12,-0.35123995,-0.6105946,-0.091885366
1864-01,-0.7449575,-1.0452764,-0.44463858
1864-02,-0.60137933,-0.87628865,-0.32647005
1864-03,-0.49133563,-0.7995397,-0.18313159
1864-04,-0.5287343,-0.887049,-0.17041965
1864-05,-0.3222761,-0.6868526,0.042300366
1864-06,-0.4100404,-0.8245709,0.004490027
1864-07,-0.39213744,-0.72976536,-0.054509524
1864-08,-0.6399168,-0.99909306,-0.28074056
1864-09,-0.50782925,-0.86663574,-0.14902273
1864-10,-0.51205724,-0.8307434,-0.19337112
1864-11,-0.20719783,-0.5108683,0.09647267
1864-12,-0.27289692,-0.540858,-0.00493584
1865-01,-0.33983055,-0.61885124,-0.06080981
1865-02,-0.17333044,-0.45995423,0.11329333
1865-03,-0.2706124,-0.5770085,0.035783704
1865-04,-0.1607553,-0.5127778,0.19126722
1865-05,-0.495531,-0.8702361,-0.12082583
1865-06,-0.32816097,-0.6835577,0.027235724
1865-07,-0.26349232,-0.6233606,0.096375965
1865-08,-0.22200081,-0.59727323,0.15327159
1865-09,-0.31769213,-0.6804457,0.045061413
1865-10,-0.31966197,-0.6348427,-0.004481245
1865-11,-0.4150113,-0.67246336,-0.15755919
1865-12,-0.26583713,-0.510914,-0.020760227
1866-01,-0.16317667,-0.46023235,0.133879
1866-02,-0.26937604,-0.56747735,0.028725253
1866-03,-0.4967111,-0.8282465,-0.16517574
1866-04,-0.37535414,-0.7027143,-0.047993988
1866-05,-0.39167702,-0.7654518,-0.017902287
1866-06,-0.16196387,-0.52600694,0.20207924
1866-07,-0.10032019,-0.4409544,0.24031399
1866-08,-0.316795,-0.68569416,0.05210416
1866-09,-0.39315405,-0.76226556,-0.024042565
1866-10,-0.24815205,-0.55691767,0.060613543
1866-11,-0.32137546,-0.58234423,-0.060406655
1866-12,-0.46743956,-0.70414853,-0.23073062
1867-01,-0.30931607,-0.6421723,0.023540128
1867-02,-0.3881618,-0.70691764,-0.06940597
1867-03,-0.29072863,-0.55624014,-0.025217127
1867-04,-0.24620086,-0.5827375,0.090335816
1867-05,-0.2944503,-0.65560615,0.06670553
1867-06,-0.34490347,-0.72755754,0.037750594
1867-07,-0.36064145,-0.70816195,-0.0131209735
1867-08,-0.48946878,-0.8635043,-0.115433246
1867-09,-0.16739129,-0.51800525,0.18322268
1867-10,-0.11824205,-0.4194111,0.18292698
1867-11,-0.22765163,-0.48831904,0.033015795
1867-12,-0.46884483,-0.72045106,-0.21723856
1868-01,-0.5638383,-0.8534736,-0.27420306
1868-02,-0.38363,-0.68212205,-0.085137986
1868-03,-0.15569581,-0.44499967,0.13360804
1868-04,-0.44060618,-0.7744141,-0.106798224
1868-05,-0.3373516,-0.70634496,0.03164178
1868-06,-0.5272202,-0.88559633,-0.16884404
1868-07,-0.44225964,-0.7654604,-0.119058914
1868-08,-0.26404312,-0.6273691,0.09928288
1868-09,-0.28824505,-0.58251584,0.0060257223
1868-10,-0.22084768,-0.49259654,0.0509012
1868-11,-0.18562612,-0.44360918,0.07235694
1868-12,-0.333148,-0.5783865,-0.08790955
1869-01,-0.33818743,-0.6078509,-0.06852394
1869-02,-0.11447745,-0.37547037,0.14651546
1869-03,-0.44537312,-0.71563584,-0.17511044
1869-04,-0.29124403,-0.5720335,-0.010454554
1869-05,-0.44146276,-0.7842887,-0.09863683
1869-06,-0.58017063,-0.97519857,-0.18514274
1869-07,-0.6702611,-1.0057371,-0.33478516
1869-08,-0.38897008,-0.7778039,-0.00013627604
1869-09,-0.30434442,-0.60333383,-0.0053549483
1869-10,-0.36565056,-0.60383874,-0.12746239
1869-11,-0.27368745,-0.49929482,-0.048080068
1869-12,-0.39869872,-0.6494269,-0.14797054
1870-01,-0.19738618,-0.4198806,0.025108244
1870-02,-0.30224115,-0.50078464,-0.10369767
1870-03,-0.443796,-0.66294605,-0.22464596
1870-04,-0.27524027,-0.54374814,-0.0067323693
1870-05,-0.5069214,-0.82978994,-0.18405293
1870-06,-0.4096953,-0.7342784,-0.08511222
1870-07,-0.22461733,-0.54476,0.09552528
1870-08,-0.34093454,-0.70163655,0.019767458
1870-09,-0.3207326,-0.6442374,0.0027722071
1870-10,-0.48573557,-0.73867863,-0.23279247
