Time,Anomaly (deg C),Lower confidence limit (2.5%),Upper confidence limit (97.5%)
1860-05,-0.27852127,-0.5936158,0.036573246
1860-06,-0.10445343,-0.342674,0.13376713
1860-07,-0.09886361,-0.31918013,0.12145292
1860-08,-0.02295626,-0.28789306,0.24198055
1860-09,-0.013608623,-0.3062701,0.27905285
1860-10,-0.27193123,-0.5189791,-0.0248834
1860-11,-0.82197547,-1.1590502,-0.48490062
1860-12,-1.0798267,-1.4814298,-0.67822367
1861-01,-1.382559,-1.8808676,-0.8842502
1861-02,-0.66150665,-1.2921451,-0.030868271
1861-03,-0.39429238,-1.1367296,0.34814483
1861-04,-0.5478385,-1.0460591,-0.04961796
1861-05,-0.5168911,-0.9049082,-0.12887406
1861-06,-0.103430875,-0.46261257,0.2557508
1861-07,0.05200617,-0.26915583,0.37316817
1861-08,0.111801334,-0.19289714,0.4164998
1861-09,-0.24801917,-0.5325558,0.036517486
1861-10,-0.41407913,-0.6651524,-0.1630059
1861-11,-0.44297364,-0.8197948,-0.0661525
1861-12,-0.3187166,-0.79000485,0.15257171
1862-01,-1.1130203,-1.6397761,-0.58626443
1862-02,-1.0046529,-1.6376287,-0.37167704
1862-03,-0.8371359,-1.5233718,-0.1508999
1862-04,-0.79820573,-1.266724,-0.32968742
1862-05,-0.5525246,-0.9282951,-0.17675416
1862-06,-0.41355714,-0.6985704,-0.1285439
1862-07,-0.33973104,-0.6342535,-0.045208603
1862-08,-0.29864195,-0.59613025,-0.0011536513
1862-09,-0.33977076,-0.62878174,-0.050759755
1862-10,-0.51722866,-0.7804526,-0.25400478
1862-11,-0.9237737,-1.3379437,-0.50960374
1862-12,-1.2805809,-1.782404,-0.7787578
1863-01,0.18852645,-0.3723958,0.7494487
1863-02,-0.26256448,-0.97733814,0.4522092
1863-03,-0.3348571,-0.97949773,0.30978352
1863-04,-0.31638238,-0.76569813,0.13293338
1863-05,-0.19225156,-0.54510874,0.16060561
1863-06,-0.2889883,-0.5907425,0.012765965
1863-07,-0.25171044,-0.6205999,0.117179014
1863-08,-0.18093032,-0.51653177,0.15467115
1863-09,-0.21702242,-0.6170939,0.1830491
1863-10,-0.6492517,-0.9698341,-0.32866937
1863-11,-0.4557238,-0.8607212,-0.050726444
1863-12,-0.65515155,-1.1684574,-0.14184579
1864-01,-0.96151525,-1.563293,-0.35973752
1864-02,-0.5855036,-1.3289528,0.15794559
1864-03,-0.5074581,-1.1829586,0.16804239
1864-04,-0.5584429,-1.0345647,-0.08232102
1864-05,-0.32466525,-0.7187498,0.06941937
1864-06,0.18495072,-0.08948204,0.4593835
1864-07,-0.12707426,-0.46240798,0.20825946
1864-08,0.02401922,-0.3261459,0.3741843
1864-09,-0.37723416,-0.7227227,-0.031745624
1864-10,-0.6937615,-0.9922864,-0.3952366
1864-11,-0.7052797,-1.067424,-0.3431353
1864-12,-0.90775746,-1.4278647,-0.38765028
1865-01,-0.012363493,-0.5573,0.532573
1865-02,-0.7600303,-1.5601991,0.040138498
1865-03,-1.0518299,-1.8225701,-0.28108984
1865-04,-0.7355513,-1.2296966,-0.24140596
1865-05,-0.25981465,-0.6481376,0.12850836
1865-06,-0.06359463,-0.38962445,0.26243517
1865-07,-0.16771226,-0.5242754,0.18885088
1865-08,-0.20155872,-0.52083653,0.117719084
1865-09,-0.024168827,-0.39908502,0.35074735
1865-10,-0.21918891,-0.56801635,0.12963854
1865-11,-0.25909343,-0.6887684,0.17058153
1865-12,-0.65528566,-1.2074953,-0.10307599
1866-01,-0.101021715,-0.66207504,0.46003166
1866-02,-0.5328015,-1.14986,0.084257066
1866-03,-0.8675933,-1.5474393,-0.18774724
1866-04,-0.5333461,-1.0515118,-0.015180383
1866-05,-0.75216556,-1.1485178,-0.35581326
1866-06,-0.03505893,-0.36014557,0.2900277
1866-07,0.08329945,-0.24838208,0.41498098
1866-08,-0.182148,-0.49738628,0.13309029
1866-09,-0.3623511,-0.6952506,-0.029451624
1866-10,-0.59310234,-0.8688382,-0.31736648
1866-11,-0.27520606,-0.6530119,0.10259979
1866-12,-0.33326527,-0.8610071,0.19447653
1867-01,-0.501059,-1.063338,0.061220087
1867-02,-0.3190334,-1.0232794,0.3852126
1867-03,-1.0716891,-1.7619511,-0.3814272
1867-04,-0.5964037,-1.0870613,-0.10574613
1867-05,-0.8542732,-1.2715144,-0.437032
1867-06,-0.35556042,-0.70431346,-0.006807363
1867-07,-0.14538062,-0.48422757,0.19346634
1867-08,-0.17148551,-0.5370994,0.1941284
1867-09,-0.12839587,-0.49269783,0.23590611
1867-10,-0.13226868,-0.4634969,0.19895953
1867-11,-0.16366914,-0.55188894,0.22455066
1867-12,-0.42190027,-0.8845352,0.040734664
1868-01,-0.8059168,-1.4311476,-0.18068597
1868-02,-1.002921,-1.733343,-0.27249888
1868-03,-0.51361644,-1.2135276,0.18629469
1868-04,-0.28538185,-0.73184425,0.16108051
1868-05,-0.23383957,-0.63043106,0.16275193
1868-06,-0.0680737,-0.38140568,0.24525827
1868-07,0.32301566,0.0064916704,0.63953966
1868-08,-0.12249868,-0.44084695,0.19584958
1868-09,-0.40130225,-0.70947325,-0.09313129
1868-10,-0.23849043,-0.5037641,0.026783247
1868-11,-0.66073555,-1.0306196,-0.29085153
1868-12,-0.2947847,-0.7199566,0.13038714
1869-01,-0.33319452,-0.8342045,0.16781548
1869-02,0.37711036,-0.17512126,0.929342
1869-03,-0.80616933,-1.394341,-0.2179976
1869-04,-0.52015454,-0.97545505,-0.064854056
1869-05,-0.17847864,-0.4868252,0.12986793
1869-06,-0.18885697,-0.4530961,0.075382136
1869-07,-0.16387938,-0.43610755,0.10834879
1869-08,0.05309157,-0.21518393,0.32136708
1869-09,-0.038910627,-0.29235753,0.2145363
1869-10,-0.2213142,-0.45415947,0.011531041
1869-11,-0.289939,-0.56170684,-0.018171122
1869-12,-0.67446756,-1.0287249,-0.3202102
1870-01,-0.22474743,-0.607742,0.15824716
1870-02,-0.6065866,-1.0107652,-0.20240803
1870-03,-0.5528734,-0.99688214,-0.108864576
1870-04,-0.3906412,-0.7114937,-0.069788754
1870-05,-0.08856701,-0.38790286,0.21076882
1870-06,-0.052776366,-0.29901788,0.19346514
1870-07,0.07790143,-0.15022472,0.30602756
1870-08,-0.1755203,-0.48574388,0.13470328
1870-09,-0.08390179,-0.36572573,0.19792214
1870-10,-0.39998037,-0.7136057,-0.086355016
1870-11,-0.20329735,-0.49816293,0.09156826
1870-12,-1.0438268,-1.4355311,-0.65212256
1871-01,-0.84294796,-1.2963729,-0.38952306
1871-02,-1.1151167,-1.624424,-0.60580957
1871-03,-0.23477498,-0.7655906,0.29604065
1871-04,-0.15400356,-0.50561035,0.19760323
1871-05,-0.44926006,-0.78426296,-0.114257134
1871-06,-0.239781,-0.49057403,0.0110120345
1871-07,-0.028054463,-0.31263658,0.25652766
1871-08,-0.12129757,-0.37660676,0.13401164
1871-09,-0.3287831,-0.6020268,-0.055539384
1871-10,-0.23991399,-0.48371688,0.0038888988
1871-11,-0.8711069,-1.2148207,-0.5273931
1871-12,-0.666426,-1.083145,-0.24970706
1872-01,-0.82564515,-1.2685808,-0.3827095
1872-02,-0.86018455,-1.3292611,-0.3911081
1872-03,-0.5938154,-1.1269776,-0.060653247
1872-04,-0.43333066,-0.8184628,-0.048198532
1872-05,-0.034865003,-0.33707437,0.2673444
1872-06,-0.19112915,-0.45253608,0.07027778
1872-07,-0.04254468,-0.30186844,0.21677908
1872-08,0.20831403,-0.0617707,0.47839877
1872-09,-0.02383722,-0.27436367,0.22668922
1872-10,-0.18469389,-0.41358224,0.044194452
1872-11,-0.5513282,-0.83322686,-0.26942945
1872-12,-0.7512103,-1.1181765,-0.384244
1873-01,-0.48079532,-0.8535011,-0.10808957
1873-02,-0.39409187,-0.8819385,0.0937548
1873-03,-0.56623185,-0.99198484,-0.14047891
1873-04,-0.6871962,-1.003308,-0.37108436
1873-05,-0.45463565,-0.70935017,-0.19992112
1873-06,-0.29350698,-0.5082866,-0.07872732
1873-07,-0.114824556,-0.37914395,0.14949484
1873-08,-0.16997768,-0.37342167,0.03346629
1873-09,-0.41712326,-0.6749305,-0.15931599
1873-10,-0.31321773,-0.5591573,-0.06727813
1873-11,-0.4837331,-0.7671233,-0.2003429
1873-12,-0.13180836,-0.49996406,0.23634735
1874-01,-0.10022739,-0.54075134,0.34029657
1874-02,-0.41180852,-0.8042981,-0.019318933
1874-03,-0.8324079,-1.2898091,-0.37500674
1874-04,-0.38454756,-0.70535624,-0.06373891
1874-05,-0.075460345,-0.40482718,0.2539065
1874-06,-0.30599463,-0.56865865,-0.043330632
1874-07,-0.18060099,-0.3999933,0.03879133
1874-08,-0.16136454,-0.39491034,0.07218125
1874-09,0.0073552756,-0.2315893,0.24629985
1874-10,-0.37295064,-0.5944928,-0.15140852
1874-11,-0.41994056,-0.71664935,-0.12323174
1874-12,-0.286845,-0.64996666,0.07627661
1875-01,-0.911584,-1.2549522,-0.5682158
1875-02,-0.7792256,-1.1908579,-0.36759326
1875-03,-0.734555,-1.108732,-0.360378
1875-04,-0.53496665,-0.8084855,-0.26144782
1875-05,-0.36169213,-0.61450016,-0.10888411
